Start;End;Registration;Amount;Amount Refunded;Days;Hours;Kilometers
2020-07-11 09:00;2020-07-11 13:00;RCG46C;161,50;0,00;0;4;67
2020-06-17 11:15;2020-06-17 13:15;ENC55K;474,00;0,00;0;2;22
2020-06-13 11:00;2020-06-13 18:00;SGE16N;214,00;0,00;0;7;43
2020-06-11 16:45;2020-06-11 18:30;KRL89A;681,00;0,00;0;1;44
2020-06-09 18:15;2020-06-09 21:15;EYJ34T;236,76;0,00;0;3;70
2020-05-31 15:30;2020-05-31 16:44;RET44N;396,42;0,00;0;1;16
2020-05-28 20:15;2020-05-28 21:15;EYJ34T;136,83;0,00;0;1;16
2020-05-25 17:00;2020-05-25 20:00;ENC55K;117,00;0,00;0;3;55
2020-05-21 10:00;2020-05-21 20:30;SGE16N;365,00;0,00;0;10;76
2020-05-17 07:00;2020-05-17 13:30;OKX24B;1044,50;0,00;0;6;69
2020-05-10 13:15;2020-05-10 15:15;ENC55K;690,50;0,00;0;2;39
2020-05-02 13:15;2020-05-02 15:00;ZRO118;248,00;0,00;0;1;14
2020-04-26 08:00;2020-04-26 15:00;BEM53G;176,76;0,00;0;7;71
2020-04-25 09:00;2020-04-25 16:00;OGH22X;439,50;0,00;0;7;77
2020-04-23 16:45;2020-04-23 21:00;BEM53G;451,50;0,00;0;4;72
2020-04-21 18:15;2020-04-21 20:15;PGP00J;324,63;0,00;0;2;17
2020-04-19 11:30;2020-04-19 19:00;ESP27B;119,00;0,00;0;7;66
2020-04-18 07:30;2020-04-18 15:00;ESP27B;450,74;0,00;0;7;66
2020-04-13 11:00;2020-04-13 21:00;OUA14T;452,17;0,00;0;10;76
2020-04-10 16:00;2020-04-10 18:00;KRL89A;577,00;0,00;0;2;35
2020-04-10 11:00;2020-04-10 17:00;BEM53G;155,00;0,00;0;6;0
2020-04-09 15:30;2020-04-09 17:30;OKX24B;176,54;0,00;0;2;44
2020-04-04 15:45;2020-04-04 17:30;PRK994;160,38;0,00;0;1;43
2020-04-04 11:00;2020-04-04 14:00;KRL89A;221,50;0,00;0;3;47
2023-01-09 15:00;2023-01-09 16:30;OFX22S;138,50;0,00;0;1;13
2023-01-08 11:00;2023-01-08 12:15;OFX22S;121,06;0,00;0;1;13
2022-12-22 06:30;2023-01-05 22:15;BHN63H;13895,00;0,00;14;15;1385
2022-12-15 10:00;2022-12-15 19:30;FLL76W;838,50;0,00;0;9;63
2022-12-10 15:00;2022-12-11 12:20;OFX22S;1041,00;0,00;1;21;73
2022-12-07 11:45;2022-12-07 15:30;FLL76W;299,26;0,00;0;3;9
2022-12-04 15:00;2022-12-04 20:00;FLL76W;477,00;0,00;0;5;41
2022-12-02 08:15;2022-12-02 11:15;MSX72M;241,24;0,00;0;3;20
2022-11-24 16:15;2022-11-24 20:15;FMF56G;435,76;0,00;0;4;66
2022-11-24 09:30;2022-11-24 11:30;EYK266;284,00;0,00;0;2;67
2022-11-22 14:30;2022-11-22 17:30;FMF56G;257,50;0,00;0;3;40
2022-11-20 12:07;2022-11-20 16:00;FMF56G;442,33;0,00;0;3;54
2022-11-16 11:00;2022-11-16 13:15;OFX22S;252,26;0,00;0;2;38
2022-11-12 10:30;2022-11-13 13:00;KXF81B;1537,50;0,00;1;2;215
2022-11-10 11:30;2022-11-10 15:00;NFB01H;286,00;0,00;0;3;33
2022-11-08 13:00;2022-11-08 16:00;ESP27B;253,50;0,00;0;3;13
2022-11-04 09:30;2022-11-05 14:50;JKO726;1814,33;0,00;1;5;183
2022-10-31 09:45;2022-10-31 12:30;ESP27B;275,51;0,00;0;2;44
2022-10-26 16:00;2022-10-26 20:00;ESP27B;386,00;0,00;0;4;48
2022-10-23 13:30;2022-10-23 16:15;OHU53H;1037,26;500,00;0;2;67
2022-10-21 13:30;2022-10-21 17:15;UWP017;415,76;0,00;0;3;66
2022-10-15 12:30;2022-10-15 17:15;NFB01H;482,92;0,00;0;4;41
2022-10-11 14:30;2022-10-11 17:15;ESP27B;236,76;0,00;0;2;34
2022-10-08 14:15;2022-10-09 20:00;ESP27B;1733,76;0,00;1;5;190
2022-10-03 08:45;2022-10-03 12:45;UWP017;439,00;0,00;0;4;67
2022-09-30 08:30;2022-09-30 12:00;UWP017;187,50;187,50;0;3;0
2022-09-29 10:30;2022-09-29 15:00;SBJ55S;407,50;0,00;0;4;35
2022-09-28 13:00;2022-09-28 16:00;UWP017;261,00;0,00;0;3;18
2022-09-05 10:45;2022-09-05 12:00;SBJ55S;133,76;0,00;0;1;20
2022-09-04 13:15;2022-09-04 19:00;OHU53H;628,01;0,00;0;5;79
2022-08-22 12:45;2022-08-22 16:30;NFB01H;403,26;0,00;0;3;61
2022-08-19 07:00;2022-08-21 21:00;PGP00J;3565,00;0,00;2;14;1035
2022-08-14 15:00;2022-08-14 19:30;DEX56B;449,00;0,00;0;4;52
2022-08-13 09:00;2022-08-13 17:15;MSX72M;853,26;0,00;0;8;76
2022-08-09 11:30;2022-08-09 16:15;UWP017;416,01;0,00;0;4;33
2022-08-05 12:30;2022-08-07 19:00;OKA14R;1940,00;0,00;2;6;295
2022-08-04 06:30;2022-08-04 08:15;UPG59G;229,01;0,00;0;1;57
2022-08-02 10:30;2022-08-02 15:30;UPG59G;668,50;0,00;0;5;143
2022-07-31 17:00;2022-07-31 19:00;NFB01H;194,75;0,00;0;2;43
2022-07-29 12:45;2022-07-29 16:30;DXN23W;365,26;0,00;0;3;67
2022-07-18 21:45;2022-07-26 19:00;JKO726;5578,89;0,00;8;21;325
2022-07-18 13:30;2022-07-18 15:00;TCF58F;156,50;0,00;0;1;17
2022-07-17 17:00;2022-07-17 20:00;MGD320;307,89;0,00;0;3;72
2022-07-13 11:45;2022-07-13 18:00;TCF58F;549,51;0,00;0;6;51
2022-07-09 10:45;2022-07-09 17:00;TCF58F;582,26;0,00;0;6;68
2022-07-06 11:15;2022-07-06 21:45;PGP00J;916,25;0,00;0;10;75
2022-07-02 17:45;2022-07-02 19:45;FFD55T;197,50;0,00;0;2;18
2022-07-01 16:30;2022-07-01 22:00;SBJ55S;608,50;0,00;0;5;73
2022-06-12 10:15;2022-06-27 11:00;TRM37F;10467,26;0,00;15;0;713
2022-06-02 08:15;2022-06-02 10:30;CJC75G;216,76;0,00;0;2;24
2022-05-29 11:45;2022-05-29 14:45;XTH29E;293,75;0,00;0;3;47
2022-05-27 11:00;2022-05-27 13:15;DEX56B;186,76;0,00;0;2;9
2022-05-17 18:15;2022-05-17 22:00;KKJ20F;312,94;0,00;0;3;51
2022-05-17 09:30;2022-05-17 14:00;NFB01H;311,12;0,00;0;4;29
2022-05-15 11:30;2022-05-15 13:30;GOH58A;208,69;0,00;0;2;39
2022-04-29 11:00;2022-04-29 16:15;KKJ20F;500,69;0,00;0;5;83
2022-04-24 11:00;2022-04-24 13:00;PGP00J;251,00;0,00;0;2;43
2022-04-22 10:00;2022-04-22 17:00;UPG59G;623,50;0,00;0;7;44
2022-04-18 14:00;2022-04-18 20:00;CJC75G;748,00;0,00;0;6;68
